Stations, Start, End 
"lambeth north station, waterloo",187,214
"george street, marylebone",181,224
"breams buildings, holborn",175,183
"store street, bloomsbury",222,217
"silverthorne road, battersea",142,144
"sail street, vauxhall",136,141
"imperial college, knightsbridge",463,507
"sackville street, mayfair",236,232
"austin road, battersea park",145,146
"warwick square, pimlico",202,156
"rotherhithe roundabout, rotherhithe",120,117
"blenheim crescent, ladbroke grove",166,151
"denyer street, knightsbridge",133,135
"fire brigade pier, vauxhall",138,124
"dock street, wapping",32,23
"waterloo station 3, waterloo",923,899
"wells street, fitzrovia",288,283
"exhibition road museums 1, south kensington",228,232
"holden street, battersea",44,50
"arlington road, camden town",129,103
"palissy street, shoreditch",129,128
"tower wharf, bermondsey",203,194
"montserrat road , putney",51,59
"george place mews, marylebone",134,128
"st. pancras way, camden town",52,63
"heath road, battersea",62,54
"carey street, holborn",96,101
"holland park, kensington",97,75
"geraldine street, elephant & castle",73,69
"de vere gardens, kensington",237,201
"wellington street , strand",355,341
"morie street, wandsworth",36,24
"river street , clerkenwell",105,82
"charles ii street, west end",198,218
"the guildhall, guildhall",82,123
"addison road, holland park",74,83
"city road, angel",190,183
"killick street, king's cross",47,35
"devons road, bow",146,147
"percival street, finsbury",113,97
"macclesfield rd, st lukes",223,162
"st. chad's street, king's cross",105,109
"broomhouse lane, parsons green",62,76
"queensbridge road, haggerston",109,112
"colombo street, southwark",72,74
"murray grove , hoxton",180,146
"esmond street, putney",36,37
"fanshaw street, hoxton",266,213
"green street, mayfair",214,225
"alderney street, pimlico",253,235
"spencer park, wandsworth common",39,33
"penfold street, marylebone",101,126
"wendon street, old ford",88,93
"pall mall east, west end",243,246
"royal avenue 2, chelsea",139,137
"cadogan close, victoria park",126,136
"copper box arena, queen elizabeth olympic park",145,140
"teviot street, poplar",34,32
"newby place, poplar",72,78
"lambeth palace road, waterloo",57,62
"albert square, stockwell",70,78
"vicarage gate, kensington",89,94
"risinghill street, angel",118,74
"st. mary axe, aldgate",174,161
"westbourne green, westbourne",94,95
"camley street, camden town",102,102
"lots road, west chelsea",121,110
"saunders ness road, cubitt town",112,111
